AP AP AF AP AO AS AO AR
AO AM AR AF AP AR AO AP
a0 GF GR a0 GF GR GP a0
a0 GR GS a0 GS GP GS a0
a0 AO AO AS AF AO AR a0
AP AO AS AF AP AP AM AP
AC AF AR AP AO AP AP AC
a0 AC AC AC AC AC AC a0

##UMA MACA##

AN AN AN AM AN AN AN AN
AN AN AN AN AN AN AN AN
a0 GN GN a0 GN GN GN a0
a0 GN GN a0 GN GN GN a0
a0 AN AN AN AN AN AN a0
AN AN AN AN AN AN AN AN
AC AN AN AN AN AN AN AC
a0 AC AC AC AC AC AC a0

##TRES MACAS##

AN AN AN AM AM AM AN AN
AN AN AN AN AN AN AN AN
a0 GN GN a0 GN GN GN a0
a0 GN GN a0 GN GN GN a0
a0 AN AN AN AN AN AN a0
AN AN AN AN AN AN AN AN
AC AN AN AN AN AN AN AC
a0 AC AC AC AC AC AC a0
